Reviewer Name, Review, Stars, Date
PJ, "Ordered seven of these scarves in different colors for Christmas gifts. They are absolutely so soft and the colors are beautiful. I need to order a few more because of the quality. Love them.", 5, December 6 2024
Tnicole, "Beside the great price, it's very neutral I have my tan, black and congac color boots on stand by . Very long and wide , great for layering and lightweight and Looks just like picture. Def will order more colors.. Great buy. ☀️", 5, November 30 2024
jessica, "Very high end quality for economical price. Extremely soft and nice sized. Not shawl size but not regular scarf size but nicely in the middle. Extremely happy with it.", 5, December 12 2024
Kim Cockroft, "As a gift to my mom for Christmas. She was so happy with the colors and feel of the scarf", 5, December 24 2024
AbbyV, "The colors on this scarf are perfect, and it’s generally well-made, soft and a good size. It’s also warm without being too heavy. My only complaint is that it sheds. I wear contacts and the little fibers stuck to my lenses and irritated my eyes, making them red and itchy. ALSO, my wardrobe is primarily black and this scarf made me look like I live with 20 dogs. I did wear it several times but unfortunately won’t wear it anymore.", 4, January 25 2024
NM, "Love this scarf! Soft and warm!", 5, November 29 2024
Crystal, "I love the scarf. It is exactly what I wanted. The colors are perfect. 😍 The shape perfect length too. The only thing I suggest is that it should be put in a weather proof packaging. It came in a plastic bag with holes I am not always here to get right away. If the weather was bad before I could get it that would have been really bad. Thanks for listening. 👂", 5, December 5 2024
Meesch, "Super cute. And long . Just like picture", 5, December 12 2024
log67, "I looked at several stores/sites for a cotton scarf. This one is perfect. So soft & the length is great.", 5, December 26 2024
Matt B., "This scarf is super cute. It is great material, and it is very soft. Worth the money and the colors are great.", 5, December 26 2024
COOL ROCKRUFF, "This soft scarf has changed my life and I am now married to it", 5, December 85 2022
